names,scores,logfoldchanges,pvals,pvals_adj
MAP1LC3A,31.760096,1.9557537,2.303646833997843e-221,3.5324471476610656e-220
SOCS1,31.74577,0.73029554,3.63212374736719e-221,5.555903016499665e-220
MTRNR2L12,-31.744654,-2.6078906,3.763217238106287e-221,5.7423566706653636e-220
PSTPIP1,31.700548,1.0245036,1.52689063028196e-220,2.3242254691682225e-219
PSMA7,31.652023,0.49667567,7.112567585156127e-220,1.0800373308749242e-218
ENO1,31.545118,0.5844911,2.0919966234468115e-218,3.1689686715853274e-217
MYC,-31.398655,-3.0885375,2.1108020329034545e-216,3.189713193063065e-215
UBXN4,31.38044,0.6016726,3.741043054032561e-216,5.63957722227469e-215
CALR,31.37808,0.5508496,4.028890419198129e-216,6.058868700292897e-215
CDK6,31.287891,1.3762656,6.818882380706946e-215,1.0229962725478857e-213
PIK3R1,-31.150433,-0.8526634,5.003935142143285e-213,7.489102930963126e-212
NDUFB8,-31.105085,-1.3155212,2.0558258296435892e-212,3.06947583799178e-211
MAP1LC3B,31.07358,0.5723026,5.480447531313091e-212,8.163120057977328e-211
AKIRIN2,31.045322,0.9793528,1.319362850561699e-211,1.9605103691322772e-210
SRP14,30.986994,0.35194957,8.070278050486728e-211,1.1963564207384244e-209
CD58,30.88917,1.1070114,1.6697188255484137e-209,2.469363789158211e-208
MSN,30.794853,0.5739453,3.071106868705849e-208,4.53115318382818e-207
SURF4,30.669874,0.88875496,1.435885486750088e-206,2.1135286138696458e-205
ZNF331,30.61728,0.74763674,7.208398492389545e-206,1.0585321174353684e-204
MIS18BP1,30.576162,1.2578064,2.5395862544440173e-205,3.720553477461294e-204
HSPA4,30.573147,0.9763916,2.7851091355593924e-205,4.070694640521351e-204
MT2A,30.53852,0.72676367,8.03237567753321e-205,1.1712630047543168e-203
ARPC3,30.408262,0.38206038,4.271523972870975e-203,6.214121471955187e-202
CORO1B,30.32496,0.7097397,5.374773283317205e-202,7.800920944461087e-201
SIAH2,30.324356,1.0809175,5.474235565465135e-202,7.926845513704852e-201
BTLA,30.131567,2.0759072,1.8707233688992359e-199,2.7025890151157713e-198
NAMPT,30.113997,0.90527606,3.1776910459726387e-199,4.580131597670956e-198
SP140,30.096964,0.9616535,5.309440969135946e-199,7.635073983497105e-198
HLA-DMA,30.048157,1.503535,2.3077260852765346e-198,3.31092379269215e-197
VCP,30.023817,0.6079024,4.797924611053312e-198,6.867854930638468e-197
PGK1,29.924032,0.47293568,9.581871107030703e-197,1.3684315235464215e-195
ELF1,29.913269,0.49541482,1.3226825436933328e-196,1.8846716336050432e-195
H3F3B,29.88388,0.3032496,3.1877460020287524e-196,4.531827516779372e-195
ABHD17A,29.871393,0.9295591,4.631223664811013e-196,6.568969748201257e-195
C1orf162,-29.84976,-2.1955662,8.842108814435928e-196,1.2513288233762953e-194
FTL,-29.828934,-0.3199921,1.6471238028624548e-195,2.3257239035440228e-194
UXT,-29.774302,-0.5930784,8.406699444833296e-195,1.184338854067824e-193
NOP58,29.71315,0.6471963,5.193176488445944e-194,7.299687942430436e-193
CKS2,29.708658,1.0236781,5.935436463977398e-194,8.324282914984931e-193
ARF5,29.587915,0.60304517,2.137593697942217e-192,2.9911933338245235e-191
NEDD9,29.585724,1.0573908,2.2809846234832516e-192,3.184703587283887e-191
RHOB,29.55534,1.4469497,5.607371506475126e-192,7.81151910087305e-191
MBD2,29.55389,1.1650509,5.85300142784013e-192,8.135541628318542e-191
EDF1,29.516714,0.4231086,1.757042570288943e-191,2.4368228180385097e-190
CD6,29.477285,0.6534755,5.629444331619269e-191,7.790102455351631e-190
ARF1,29.472713,0.45711574,6.442539621632941e-191,8.895550835975925e-190
TPM3,29.463984,0.3892542,8.335075692837668e-191,1.1483268741501078e-189
GPI,29.377829,0.74118114,1.0544187089772092e-189,1.4494773486182297e-188
